http://lexvo.org/ontology#Language
http://lexvo.org/ontology#GeographicRegion
http://www.w3.org/2002/07/owl#SymmetricProperty
http://rdfs.org/ns/void#Dataset
lvont:CJKRadical
http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement
http://lexvo.org/ontology#CJKRadical
http://lexvo.org/ontology#Character
http://lexvo.org/ontology#Script
lvont:Script
http://lexvo.org/ontology#Term
http://www.w3.org/2008/05/skos-xl#Label
http://www.w3.org/2001/XMLSchema#nonNegativeInteger
lvont:GeographicRegion
lvont:Character
http://www.w3.org/2002/07/owl#DatatypeProperty
http://www.w3.org/2002/07/owl#Ontology
http://www.w3.org/2002/07/owl#ObjectProperty
http://www.w3.org/2002/07/owl#Class
lvont:Language
