Number of shared subject-object,4
SameAs Links,0
Number of predicates,20
Undeclared Properties,20
Property Link Count,0
Unique Individuals,7
DifferentFrom Links,0
Class Link Count,0
Number of objects,55
Declared Classes,0
Number of subjects,8
Declared Properties,0
Undeclared Classes,5
AllDifferent Links,0
SeeAlso Links,3
Linked Individuals,43
Number of triples,60
Instance Typing Link Count,7
Reused Individuals,15
