Number of triples,1693668039
Number of subjects,1625057179
Number of predicates,38867
Number of objects,2538585808
Number of shared subject-object,1451915667
Declared Classes,0
Undeclared Classes,2521502
Declared Properties,74309
Undeclared Properties,29167
Unique Individuals,89120227
Reused Individuals,2638082613
Linked Individuals,392075022
SameAs Links,0
Exact Match Links,3268021
Said to be the Same Links,2
InverseOf Links,0
External SubProperty Links,94
External SuperProperty Links,159
Class Link Count,3955
Property Link Count,1162063
Instance Typing Link Count,24
